siteId,date,phMean,phMax,phMin,phSd,phCnt,caMean,caMax,caMin,caSd,caCnt,tempMean,tempMax,tempMin,tempSd,tempCnt,uniqueSiteDates
11NPSWRD_WQX-GRTE_SNR02,2015-05-14,,,,,,20.2,20.7,19.7,0.707106781187,2.0,7.6,7.6,7.6,,1.0,2015-05-14_break_11NPSWRD_WQX-GRTE_SNR02
11NPSWRD_WQX-GRTE_SNR01,2014-07-28,,,,,,15.05,15.6,14.8,0.369684550214,4.0,17.5,17.5,17.5,,1.0,2014-07-28_break_11NPSWRD_WQX-GRTE_SNR01
11NPSWRD_WQX-GRTE_SNR02,2014-10-30,8.35,8.35,8.35,,1.0,20.75,21.6,19.9,1.20208152802,2.0,6.63,6.63,6.63,,1.0,2014-10-30_break_11NPSWRD_WQX-GRTE_SNR02
WYDEQ_WATERSHED-MRW0189,2012-10-09,8.6,8.6,8.6,,1.0,,,,,,7.88,7.88,7.88,,1.0,2012-10-09_break_WYDEQ_WATERSHED-MRW0189
WYDEQ_WATERSHED-MRW0190,2012-10-09,7.97,7.97,7.97,,1.0,,,,,,7.71,7.71,7.71,,1.0,2012-10-09_break_WYDEQ_WATERSHED-MRW0190
WYDEQ_WATERSHED-MRW0162,2012-06-18,8.23,8.23,8.23,,1.0,,,,,,17.12,17.12,17.12,,1.0,2012-06-18_break_WYDEQ_WATERSHED-MRW0162
WYDEQ_WATERSHED-MRW0190,2012-06-21,8.12,8.12,8.12,,1.0,,,,,,11.84,11.84,11.84,,1.0,2012-06-21_break_WYDEQ_WATERSHED-MRW0190
WYDEQ_WATERSHED-MRW0191,2012-06-21,7.81,7.81,7.81,,1.0,,,,,,11.24,11.24,11.24,,1.0,2012-06-21_break_WYDEQ_WATERSHED-MRW0191
1119USBR_WQX-JAC101,2010-07-22,8.03,8.16,7.9,0.183847763109,2.0,14.6,14.6,14.6,,1.0,13.0,13.0,13.0,,1.0,2010-07-22_break_1119USBR_WQX-JAC101
WYDEQ_WATERSHED-MRW0191,2012-06-18,7.72,7.72,7.72,,1.0,,,,,,9.75,9.75,9.75,,1.0,2012-06-18_break_WYDEQ_WATERSHED-MRW0191
WYDEQ_WATERSHED-MRW0164,2012-06-18,8.38,8.38,8.38,,1.0,,,,,,16.75,16.75,16.75,,1.0,2012-06-18_break_WYDEQ_WATERSHED-MRW0164
WYDEQ_WATERSHED-MRW0162,2012-06-21,8.38,8.38,8.38,,1.0,,,,,,15.82,15.82,15.82,,1.0,2012-06-21_break_WYDEQ_WATERSHED-MRW0162
11NPSWRD_WQX-GRTE_SNR01,2016-09-07,8.11,8.11,8.11,,1.0,28.5,29.0,28.0,0.57735026919,4.0,12.901,12.901,12.901,,1.0,2016-09-07_break_11NPSWRD_WQX-GRTE_SNR01
1119USBR_WQX-PAL008,2016-05-24,8.05454545455,8.31,7.7,0.185542377979,22.0,50.1,51.9,48.3,2.54558441227,2.0,8.36,11.2,4.2,2.73484339973,20.0,2016-05-24_break_1119USBR_WQX-PAL008
1119USBR_WQX-JAC101,2016-08-16,7.375,8.25,6.5,1.23743686708,2.0,15.3,15.3,15.3,,1.0,19.0,19.0,19.0,,1.0,2016-08-16_break_1119USBR_WQX-JAC101
1119USBR_WQX-PAL008,2016-07-19,7.97304347826,8.47,7.4,0.371084832039,23.0,41.7,45.2,38.2,4.94974746831,2.0,14.3571428571,19.7,6.3,4.70643935779,21.0,2016-07-19_break_1119USBR_WQX-PAL008
1119USBR_WQX-PAL008,2016-06-21,7.77695652174,8.2,7.11,0.221737657904,23.0,43.6,49.4,37.8,8.20243866176,2.0,12.1571428571,17.5,5.7,4.20898698365,21.0,2016-06-21_break_1119USBR_WQX-PAL008
1119USBR_WQX-JAC001,2016-08-16,7.67625,8.48,6.3,0.689752371024,16.0,15.1666666667,15.2,15.1,0.057735026919,3.0,11.5846153846,18.8,5.9,5.46349188612,13.0,2016-08-16_break_1119USBR_WQX-JAC001
11NPSWRD_WQX-GRTE_SNR01,2016-10-04,7.75,7.75,7.75,,1.0,20.5,22.0,19.0,2.12132034356,2.0,6.991,6.991,6.991,,1.0,2016-10-04_break_11NPSWRD_WQX-GRTE_SNR01
11NPSWRD_WQX-GRTE_SNR02,2016-10-04,8.47,8.47,8.47,,1.0,23.5,25.0,22.0,2.12132034356,2.0,8.53,8.53,8.53,,1.0,2016-10-04_break_11NPSWRD_WQX-GRTE_SNR02
1119USBR_WQX-JAC101,2016-06-21,7.325,7.85,6.8,0.742462120246,2.0,14.0,14.0,14.0,,1.0,13.0,13.0,13.0,,1.0,2016-06-21_break_1119USBR_WQX-JAC101
11NPSWRD_WQX-GRTE_SNR01,2016-05-12,7.81,7.81,7.81,,1.0,13.5,14.0,13.0,0.707106781187,2.0,3.404,3.404,3.404,,1.0,2016-05-12_break_11NPSWRD_WQX-GRTE_SNR01
1119USBR_WQX-JAC001,2016-07-26,7.652,8.19,6.6,0.508319359683,15.0,14.95,15.2,14.7,0.353553390593,2.0,11.1230769231,19.1,5.7,5.4031092663,13.0,2016-07-26_break_1119USBR_WQX-JAC001
11NPSWRD_WQX-GRTE_SNR02,2016-08-02,8.07,8.07,8.07,,1.0,18.0,18.0,18.0,0.0,2.0,15.76,15.76,15.76,,1.0,2016-08-02_break_11NPSWRD_WQX-GRTE_SNR02
